PF00195,KSB MOTOR SEAL KIT 90036350,5,0,PC,0,BOX E,PIPESAND FITTINGS\
PF00196,KSB PUMP REPAUR KITS  ASSORTED,18,0,PC,0,BOX M,PIPESAND FITTINGS\
PF00197,LOCKABLE TAP 3/4,1,500,PC,0,B4,PIPESAND FITTINGS\
PF00198,LONG RADIUS BEND 63MM X 11 1/4,14,70,PC,0,A2,PIPESAND FITTINGS\
PF00199,LONG RADIUS BEND 63MM X 22 1/2,2,70,PC,0,A2,PIPESAND FITTINGS\
PF00200,LONG RADIUS BEND 63MM X 45,1,120,PC,0,A2,PIPESAND FITTINGS\
PF00201A,LONG RADIUS BEND 90MM X 11 1/2,19,200,PC,0,A2,PIPESAND FITTINGS\
PF00201B,LONG RADIUS BEND 90MM X 45,7,162,PC,0,A4,PIPESAND FITTINGS\
PF00202,LONG RADIUS BEND 90MM X 90,1,1932.8,PC,0,A4,PIPESAND FITTINGS\
PF00203,LONG RADIUS BEND 110MM X 45,5,383,PC,0,A4,PIPESAND FITTINGS\
PF00204,LONG RADIUS BEND 110MM X 90,1,713,PC,0,A5,PIPESAND FITTINGS\
PF00205,LONG RADIUS BEND 110MM X 22 1/2,14,345,PC,0,A2,PIPESAND FITTINGS\
PF00206,LONG RADIUS BEND 160MM X 11 1/4,4,1110,PC,0,PYI,PIPESAND FITTINGS\
PF00207,LONG RADIUS BEND 160MM X 22 1/2,10,1110,PC,0,PYI,PIPESAND FITTINGS\
PF00208,LONG RADIUS BEND 160MM X 90,1,4500,PC,0,PYII,PIPESAND FITTINGS\
PF00209,LONG RADIUS BEND 225MM X 45,1,784,PC,0,PYII,PIPESAND FITTINGS\
PF00210,LONG RADIUS BEND 225MM X 90,2,2294,PC,0,PYII,PIPESAND FITTINGS\
PF00211,LONG RADIUS BEND 315MM X 45,3,7808,PC,0,PYII,PIPESAND FITTINGS\
PF00212A,MANOMETER 0 - 16 BARS,1,0,PC,0,DR18,PIPESAND FITTINGS\
PF00212 B,MANOMETER 0 - 20M BARS,0,4200,PC,0,DR18,PIPESAND FITTINGS\
PF00213,MANOMETER 0 - 25 BARS,3,0,PC,0,DR18,PIPESAND FITTINGS\
PF00214,MEASURING CYLINDER  GLASS,0,696,PC,1,DR15,PIPESAND FITTINGS\
PF00215,MEASURING MAST FOR DATA LONGER,2,0,PC,0,L2,PIPESAND FITTINGS\
PF00216,MEMBRANE PUMP,2,0,PC,0,E5,PIPESAND FITTINGS\
PF00217,METAL CENTRALIZERS,7,0,PC,0,G3,PIPESAND FITTINGS\
PF00218,METAL LOCKS  JUA KALI ,0,70,PC,0,B5,PIPESAND FITTINGS\
PF00219A1,METER HOUSING STEEL 1/2  - 3/4,26,1732,PC,6,L3,PIPESAND FITTINGS\
PF00219A2,METER HOUSING STEEL  1,1,1625,PC,0,,PIPESAND FITTINGS\
PF00219B,METER HOUSING /MARKER POST FORM WORK STEEL,0,2408,PC,0,L5,PIPESAND FITTINGS\
PF00220,NIPPLE 1/2,64,47,PC,6,B1,PIPESAND FITTINGS\
PF00221,NIPPLE 3/4,33,58,PC,6,B1,PIPESAND FITTINGS\
PF00222,NIPPLE 1,1,76,PC,6,B1,PIPESAND FITTINGS\
PF00223,NIPPLE 1 1/4,1,50,PC,0,B1,PIPESAND FITTINGS\
PF00224,NIPPLE 1 1/2,6,110,PC,1,B1,PIPESAND FITTINGS\
PF00225,NIPPLE 2,5,125.4,PC,10,B1,PIPESAND FITTINGS\
PF00226,NIPPLE 3,1,324.8,PC,2,B1,PIPESAND FITTINGS\
PF00227,NIPPLE 4,0,0,PC,0,B1,PIPESAND FITTINGS\
